#ENSG	ENSTselected	ENSTredundant	Type
ENSG00000166946	ENST00000356633	ENST00000568507	1
ENSG00000167107	ENST00000541920	ENST00000510410	2
ENSG00000167210	ENST00000441893	ENST00000582408	1
ENSG00000167280	ENST00000539857	ENST00000578419	1
ENSG00000167281	ENST00000453134	ENST00000580155	1
ENSG00000167306	ENST00000592779	ENST00000324581	2
ENSG00000167325	ENST00000423050	ENST00000533349	1
ENSG00000167325	ENST00000537197	ENST00000533495	2
ENSG00000167491	ENST00000537887	ENST00000609040	1
ENSG00000167523	ENST00000579310	ENST00000457689	2
ENSG00000167600	ENST00000542619	ENST00000593545	1
ENSG00000167612	ENST00000538991	ENST00000549751	1
ENSG00000167634	ENST00000446217	ENST00000588756	1
ENSG00000167637	ENST00000593164	ENST00000310738	2
ENSG00000167654	ENST00000398448	ENST00000597739	1
ENSG00000167699	ENST00000536578	ENST00000574554	1
ENSG00000167748	ENST00000448701	ENST00000593325	1
ENSG00000167751	ENST00000391810	ENST00000599121	1
ENSG00000167770	ENST00000422031	ENST00000428192	1
ENSG00000167772	ENST00000541807	ENST00000595079	1
ENSG00000167881	ENST00000355113	ENST00000592704	1
ENSG00000167995	ENST00000301774	ENST00000534553	1
ENSG00000168016	ENST00000429976	ENST00000301807	2
ENSG00000168056	ENST00000526927	ENST00000536982	1
ENSG00000168070	ENST00000536065	ENST00000530735	2
ENSG00000168356	ENST00000302328	ENST00000450244	1
ENSG00000168619	ENST00000541111	ENST00000520087	2
ENSG00000168658	ENST00000451075	ENST00000422503	2
ENSG00000168671	ENST00000545528	ENST00000504685	2
ENSG00000168679	ENST00000541986	ENST00000492412	2
ENSG00000168769	ENST00000513237	ENST00000540549	1
ENSG00000168802	ENST00000306585	ENST00000448552	1
ENSG00000168826	ENST00000515012	ENST00000538529	1
ENSG00000168872	ENST00000575878	ENST00000443119	2
ENSG00000168878	ENST00000393822	ENST00000342375	2
ENSG00000168918	ENST00000415617	ENST00000445964	1
ENSG00000168952	ENST00000396700	ENST00000548724	1
ENSG00000169126	ENST00000434029	ENST00000239715	2
ENSG00000169247	ENST00000394358	ENST00000511307	1
ENSG00000169247	ENST00000538184	ENST00000504517	2
ENSG00000169299	ENST00000544359	ENST00000505986	2
ENSG00000169299	ENST00000537241	ENST00000512556	2
ENSG00000169371	ENST00000371091	ENST00000564644	1
ENSG00000169398	ENST00000523539	ENST00000538769	1
ENSG00000169756	ENST00000393314	ENST00000414829	1
ENSG00000169762	ENST00000513782	ENST00000304584	2
ENSG00000169762	ENST00000399920	ENST00000505603	1
ENSG00000169862	ENST00000458100	ENST00000504499	1
ENSG00000170011	ENST00000396217	ENST00000458441	1
ENSG00000170017	ENST00000465413	ENST00000389927	2
ENSG00000170180	ENST00000535709	ENST00000508337	2
ENSG00000170379	ENST00000518791	ENST00000411497	2
ENSG00000170477	ENST00000293774	ENST00000551956	1
ENSG00000170486	ENST00000398066	ENST00000550829	1
ENSG00000170827	ENST00000411440	ENST00000421286	5
ENSG00000170873	ENST00000519168	ENST00000395508	2
ENSG00000170954	ENST00000455735	ENST00000594011	1
ENSG00000171466	ENST00000537617	ENST00000585688	1
ENSG00000171469	ENST00000354661	ENST00000326044	2
ENSG00000171490	ENST00000542106	ENST00000396503	2
ENSG00000171827	ENST00000388801	ENST00000588644	1
ENSG00000171916	ENST00000412421	ENST00000579773	1
ENSG00000172425	ENST00000539546	ENST00000528570	2
ENSG00000172940	ENST00000415844	ENST00000450935	1
ENSG00000172954	ENST00000540623	ENST00000478015	2
ENSG00000172955	ENST00000407820	ENST00000507484	1
ENSG00000173064	ENST00000377560	ENST00000430131	1
ENSG00000173157	ENST00000549670	ENST00000395541	2
ENSG00000173535	ENST00000540813	ENST00000517558	2
ENSG00000173567	ENST00000541401	ENST00000435303	2
ENSG00000173585	ENST00000355983	ENST00000422395	1
ENSG00000173599	ENST00000355677	ENST00000524491	1
ENSG00000174093	ENST00000544906	ENST00000523052	2
ENSG00000174177	ENST00000378384	ENST00000564105	1
ENSG00000174227	ENST00000536264	ENST00000504187	2
ENSG00000174306	ENST00000559234	ENST00000560364	1
ENSG00000174600	ENST00000312143	ENST00000397688	1
ENSG00000174776	ENST00000472600	ENST00000453925	2
ENSG00000175581	ENST00000535529	ENST00000508278	2
ENSG00000176155	ENST00000389641	ENST00000392347	1
ENSG00000176294	ENST00000315947	ENST00000568211	1
ENSG00000176349	ENST00000402221	ENST00000318959	2
ENSG00000176390	ENST00000544695	ENST00000578692	1
ENSG00000176697	ENST00000395980	ENST00000584049	3
ENSG00000176697	ENST00000420794	ENST00000530786	1
ENSG00000176871	ENST00000544233	ENST00000543218	2
ENSG00000176927	ENST00000541045	ENST00000423598	2
ENSG00000176974	ENST00000539052	ENST00000580002	1
ENSG00000177731	ENST00000545457	ENST00000379450	2
ENSG00000177873	ENST00000456778	ENST00000520737	3
ENSG00000178177	ENST00000539056	ENST00000510451	2
ENSG00000178537	ENST00000544097	ENST00000440964	2
ENSG00000178623	ENST00000438013	ENST00000403859	2
ENSG00000178636	ENST00000503243	ENST00000326780	2
ENSG00000178921	ENST00000545834	ENST00000580356	1
ENSG00000178922	ENST00000372425	ENST00000583037	1
ENSG00000179262	ENST00000541222	ENST00000591499	1
ENSG00000179869	ENST00000411975	ENST00000544596	1
ENSG00000179886	ENST00000504548	ENST00000321385	2
ENSG00000180228	ENST00000438687	ENST00000424699	2
ENSG00000180287	ENST00000442594	ENST00000366545	2
ENSG00000180448	ENST00000536472	ENST00000587602	1
ENSG00000180764	ENST00000480546	ENST00000489875	5
ENSG00000180881	ENST00000442339	ENST00000336815	2
ENSG00000181523	ENST00000534910	ENST00000573150	1
ENSG00000182054	ENST00000539790	ENST00000560061	1
ENSG00000182134	ENST00000440583	ENST00000526413	1
ENSG00000182149	ENST00000606369	ENST00000538565	4
ENSG00000182175	ENST00000538818	ENST00000554387	1
ENSG00000182199	ENST00000393827	ENST00000555116	1
ENSG00000182446	ENST00000539314	ENST00000574897	1
ENSG00000182870	ENST00000411988	ENST00000535228	1
ENSG00000182973	ENST00000494439	ENST00000556853	5
ENSG00000183087	ENST00000418959	ENST00000480426	3
ENSG00000183117	ENST00000400186	ENST00000602723	1
ENSG00000183117	ENST00000520002	ENST00000602557	1
ENSG00000183474	ENST00000508344	ENST00000446221	2
ENSG00000183479	ENST00000414588	ENST00000393862	2
ENSG00000183566	ENST00000375465	ENST00000603168	5
ENSG00000183765	ENST00000544772	ENST00000416671	2
ENSG00000184056	ENST00000535843	ENST00000574755	1
ENSG00000184361	ENST00000543122	ENST00000586359	1
ENSG00000184470	ENST00000400519	ENST00000535882	1
ENSG00000185164	ENST00000543392	ENST00000564991	1
ENSG00000185215	ENST00000560670	ENST00000451723	2
ENSG00000185619	ENST00000521023	ENST00000440452	2
ENSG00000186275	ENST00000414957	ENST00000537773	1
ENSG00000186474	ENST00000250352	ENST00000526824	1
ENSG00000186523	ENST00000321602	ENST00000530385	1
ENSG00000187116	ENST00000432233	ENST00000486742	3
ENSG00000187555	ENST00000535863	ENST00000565455	1
ENSG00000187653	ENST00000380638	ENST00000507623	5
ENSG00000187801	ENST00000361584	ENST00000484445	1
ENSG00000187908	ENST00000330163	ENST00000368956	1
ENSG00000187908	ENST00000338354	ENST00000368909	1
ENSG00000187908	ENST00000344338	ENST00000368955	1
ENSG00000188039	ENST00000523826	ENST00000438489	2
ENSG00000188313	ENST00000493432	ENST00000448205	2
ENSG00000188738	ENST00000429412	ENST00000546113	1
ENSG00000188897	ENST00000344649	ENST00000595170	1
ENSG00000189182	ENST00000537195	ENST00000553168	1
ENSG00000196104	ENST00000421836	ENST00000502821	1
ENSG00000196104	ENST00000502741	ENST00000507086	1
ENSG00000196104	ENST00000506697	ENST00000512042	1
ENSG00000196104	ENST00000541354	ENST00000511905	2
ENSG00000196337	ENST00000597853	ENST00000356213	2
ENSG00000196420	ENST00000359215	ENST00000368718	1
ENSG00000196547	ENST00000561448	ENST00000430376	2
ENSG00000196597	ENST00000289032	ENST00000535338	1
ENSG00000196678	ENST00000389345	ENST00000568805	1
ENSG00000196712	ENST00000581790	ENST00000417592	2
ENSG00000196712	ENST00000471572	ENST00000444181	2
ENSG00000197044	ENST00000454339	ENST00000409902	2
ENSG00000197093	ENST00000426974	ENST00000411994	2
ENSG00000197119	ENST00000539621	ENST00000392908	2
ENSG00000197302	ENST00000399681	ENST00000398707	2
ENSG00000197406	ENST00000510508	ENST00000359323	2
ENSG00000197408	ENST00000330446	ENST00000593831	1
ENSG00000197483	ENST00000598519	ENST00000391718	2
ENSG00000198003	ENST00000545100	ENST00000586836	1
ENSG00000198270	ENST00000354825	ENST00000547878	1
ENSG00000198324	ENST00000450786	ENST00000548163	1
ENSG00000198431	ENST00000378070	ENST00000527688	1
ENSG00000198431	ENST00000542918	ENST00000524698	2
ENSG00000198554	ENST00000359167	ENST00000567693	1
ENSG00000198814	ENST00000427190	ENST00000481024	1
ENSG00000198822	ENST00000439827	ENST00000394720	2
ENSG00000198920	ENST00000542606	ENST00000570790	1
ENSG00000204131	ENST00000510661	ENST00000535692	1
ENSG00000204351	ENST00000544581	ENST00000474839	2
ENSG00000204381	ENST00000436913	ENST00000525866	1
ENSG00000204427	ENST00000375842	ENST00000492084	1
ENSG00000204427	ENST00000538874	ENST00000482224	2
ENSG00000204503	ENST00000376173	ENST00000353410	2
ENSG00000204531	ENST00000606567	ENST00000512818	2
ENSG00000204740	ENST00000377265	ENST00000455457	1
ENSG00000205336	ENST00000544297	ENST00000565539	1
ENSG00000205916	ENST00000382314	ENST00000449750	1
ENSG00000206177	ENST00000472539	ENST00000496585	5
ENSG00000206530	ENST00000461734	ENST00000308346	2
ENSG00000213614	ENST00000429918	ENST00000566672	1
ENSG00000213930	ENST00000450095	ENST00000554550	1
ENSG00000214021	ENST00000310252	ENST00000427853	1
ENSG00000214160	ENST00000418734	ENST00000411922	2
ENSG00000214575	ENST00000398592	ENST00000570229	1
ENSG00000214787	ENST00000427611	ENST00000532442	1
ENSG00000221978	ENST00000408952	ENST00000482621	1
ENSG00000223618	ENST00000421357	ENST00000462479	1
ENSG00000223618	ENST00000421357	ENST00000485418	3
ENSG00000223618	ENST00000462479	ENST00000485418	3
ENSG00000223654	ENST00000420604	ENST00000463265	3
ENSG00000224143	ENST00000425250	ENST00000463686	1
ENSG00000224143	ENST00000436777	ENST00000458593	1
ENSG00000224383	ENST00000539996	ENST00000582540	1
ENSG00000225190	ENST00000421073	ENST00000579197	1
ENSG00000225950	ENST00000451356	ENST00000599795	1
ENSG00000226763	ENST00000526798	ENST00000607544	1
ENSG00000229767	ENST00000413115	ENST00000429955	1
ENSG00000229767	ENST00000413115	ENST00000444160	1
ENSG00000229767	ENST00000413115	ENST00000445749	1
ENSG00000229767	ENST00000413115	ENST00000458576	1
ENSG00000229767	ENST00000413115	ENST00000470720	3
ENSG00000229767	ENST00000413115	ENST00000483193	3
ENSG00000229767	ENST00000421499	ENST00000422275	1
ENSG00000229767	ENST00000429955	ENST00000444160	1
ENSG00000229767	ENST00000429955	ENST00000445749	1
ENSG00000229767	ENST00000429955	ENST00000458576	1
ENSG00000229767	ENST00000429955	ENST00000470720	3
ENSG00000229767	ENST00000429955	ENST00000483193	3
ENSG00000229767	ENST00000444160	ENST00000445749	1
ENSG00000229767	ENST00000444160	ENST00000458576	1
ENSG00000229767	ENST00000444160	ENST00000470720	3
ENSG00000229767	ENST00000444160	ENST00000483193	3
ENSG00000229767	ENST00000445749	ENST00000458576	1
ENSG00000229767	ENST00000445749	ENST00000470720	3
ENSG00000229767	ENST00000445749	ENST00000483193	3
ENSG00000229767	ENST00000458576	ENST00000470720	3
ENSG00000229767	ENST00000458576	ENST00000483193	3
ENSG00000229767	ENST00000470720	ENST00000483193	5
ENSG00000230092	ENST00000447500	ENST00000590817	5
ENSG00000230678	ENST00000425016	ENST00000447730	1
ENSG00000230678	ENST00000425016	ENST00000452539	1
ENSG00000230678	ENST00000425016	ENST00000518754	1
ENSG00000230678	ENST00000447730	ENST00000452539	1
ENSG00000230678	ENST00000447730	ENST00000518754	1
ENSG00000230678	ENST00000452539	ENST00000518754	1
ENSG00000233345	ENST00000414810	ENST00000454820	1
ENSG00000233948	ENST00000430891	ENST00000478495	3
ENSG00000234214	ENST00000377509	ENST00000429767	1
ENSG00000235211	ENST00000416049	ENST00000602489	5
ENSG00000235569	ENST00000420729	ENST00000443906	1
ENSG00000236221	ENST00000417283	ENST00000465958	3
ENSG00000236271	ENST00000464837	ENST00000487549	5
ENSG00000236428	ENST00000435006	ENST00000455026	1
ENSG00000236428	ENST00000435006	ENST00000487859	3
ENSG00000236428	ENST00000435006	ENST00000496173	3
ENSG00000236428	ENST00000455026	ENST00000487859	3
ENSG00000236428	ENST00000455026	ENST00000496173	3
ENSG00000236428	ENST00000487859	ENST00000496173	5
ENSG00000237333	ENST00000414514	ENST00000437726	1
ENSG00000237333	ENST00000416964	ENST00000432714	1
ENSG00000237333	ENST00000416964	ENST00000471718	1
ENSG00000237333	ENST00000432714	ENST00000471718	1
ENSG00000237889	ENST00000420337	ENST00000426766	1
ENSG00000237889	ENST00000420337	ENST00000448800	1
ENSG00000237889	ENST00000426766	ENST00000448800	1
ENSG00000240303	ENST00000485198	ENST00000545291	1
ENSG00000241685	ENST00000432884	ENST00000441989	1
ENSG00000241973	ENST00000466162	ENST00000490873	5
ENSG00000242866	ENST00000541030	ENST00000440125	2
ENSG00000254535	ENST00000529122	ENST00000421491	2
ENSG00000255986	ENST00000444023	ENST00000563395	5
ENSG00000261239	ENST00000566201	ENST00000569528	5
ENSG00000261579	ENST00000564120	ENST00000566494	1
ENSG00000261674	ENST00000609332	ENST00000562342	2
ENSG00000262009	ENST00000571685	ENST00000588840	1
ENSG00000262030	ENST00000570347	ENST00000576534	1
ENSG00000262457	ENST00000576140	ENST00000591176	1
ENSG00000262690	ENST00000573287	ENST00000593150	1
ENSG00000262736	ENST00000577047	ENST00000589382	1
ENSG00000262773	ENST00000574102	ENST00000574750	1
ENSG00000262800	ENST00000570741	ENST00000570448	4
ENSG00000263026	ENST00000571663	ENST00000592964	1
ENSG00000263068	ENST00000571353	ENST00000589500	1
ENSG00000263162	ENST00000576092	ENST00000576337	1
ENSG00000263168	ENST00000576376	ENST00000592036	1
ENSG00000267127	ENST00000591514	ENST00000564012	4
ENSG00000267900	ENST00000596804	ENST00000594282	2
ENSG00000268138	ENST00000601026	ENST00000597627	2
ENSG00000268767	ENST00000594997	ENST00000599634	1
ENSG00000268869	ENST00000270691	ENST00000492551	5
ENSG00000269115	ENST00000598891	ENST00000599933	1
ENSG00000269342	ENST00000595871	ENST00000600040	1
ENSG00000269404	ENST00000439922	ENST00000596074	1
ENSG00000269759	ENST00000600600	ENST00000599523	2
ENSG00000269870	ENST00000597320	ENST00000601796	1
ENSG00000270884	ENST00000604947	ENST00000605016	1
ENSG00000272333	ENST00000222270	ENST00000420124	1
ENSG00000272358	ENST00000606409	ENST00000605998	2
ENSG00000272607	ENST00000609441	ENST00000608179	2
ENSG00000272972	ENST00000607907	ENST00000609862	1
